short_name,nationality_name,overall,potential,value_eur,international_reputation,pace,shooting,passing,defending,physic,player_positions
Cristiano Ronaldo,Portugal,94,94,77000000.0,5,90.0,93.0,81.0,35.0,79.0,"ST, LW"
L. Messi,Argentina,94,94,110500000.0,5,88.0,91.0,91.0,32.0,64.0,"CF, RW, ST"
R. Lewandowski,Poland,92,92,119500000.0,5,78.0,92.0,79.0,44.0,82.0,ST
Neymar,Brazil,92,94,106000000.0,5,91.0,84.0,79.0,30.0,61.0,LW
L. Suárez,Uruguay,92,92,83000000.0,5,82.0,90.0,79.0,42.0,81.0,ST
Neymar Jr,Brazil,92,92,105500000.0,5,91.0,85.0,87.0,32.0,58.0,"LW, CAM"
L. Modrić,Croatia,91,91,67000000.0,4,76.0,76.0,90.0,73.0,67.0,CM
K. De Bruyne,Belgium,91,91,125500000.0,4,76.0,87.0,93.0,64.0,77.0,"CM, CAM"
M. Salah,Egypt,91,91,129000000.0,4,91.0,89.0,82.0,45.0,75.0,RW
K. Mbappé,France,91,95,194000000.0,4,97.0,88.0,80.0,36.0,77.0,"ST, LW"
E. Hazard,Belgium,91,91,90000000.0,4,91.0,83.0,86.0,35.0,66.0,"LW, ST"
Sergio Ramos,Spain,91,91,51000000.0,4,76.0,63.0,71.0,91.0,84.0,CB
V. van Dijk,Netherlands,91,92,90000000.0,3,77.0,60.0,70.0,91.0,86.0,CB
K. Benzema,France,91,91,84000000.0,4,80.0,88.0,83.0,39.0,78.0,"CF, ST"
H. Kane,England,90,92,96500000.0,3,70.0,91.0,80.0,47.0,84.0,ST
D. Godín,Uruguay,90,90,44000000.0,3,63.0,48.0,65.0,89.0,83.0,CB
David Silva,Spain,90,90,60000000.0,4,67.0,76.0,89.0,52.0,58.0,"CAM, CM"
G. Chiellini,Italy,90,90,31000000.0,4,70.0,46.0,58.0,91.0,84.0,CB
A. Robben,Netherlands,90,90,54500000.0,5,93.0,86.0,83.0,32.0,64.0,"RM, LM, RW"
T. Kroos,Germany,90,90,79000000.0,4,61.0,81.0,89.0,73.0,70.0,"CM, CDM"
G. Higuaín,Argentina,90,90,77000000.0,4,79.0,87.0,70.0,25.0,74.0,ST
Z. Ibrahimović,Sweden,90,90,52500000.0,5,76.0,91.0,81.0,34.0,86.0,ST
S. Mané,Senegal,90,90,120500000.0,3,94.0,85.0,80.0,44.0,77.0,LW
N. Kanté,France,90,90,100000000.0,4,78.0,66.0,75.0,87.0,83.0,"CDM, CM"
M. Hummels,Germany,90,90,62500000.0,4,66.0,58.0,76.0,91.0,76.0,CB
G. Bale,Wales,90,90,72000000.0,4,94.0,87.0,84.0,57.0,76.0,RW
J. Boateng,Germany,90,90,56000000.0,4,79.0,50.0,72.0,90.0,85.0,CB
S. Agüero,Argentina,90,90,69000000.0,4,80.0,90.0,77.0,33.0,74.0,ST
A. Griezmann,France,89,89,69000000.0,4,81.0,86.0,84.0,57.0,72.0,"CF, ST, LW"
P. Dybala,Argentina,89,94,89000000.0,3,86.0,85.0,84.0,25.0,67.0,"CAM, ST"
E. Haaland,Norway,89,94,160000000.0,4,89.0,91.0,65.0,49.0,87.0,ST
Iniesta,Spain,89,89,36000000.0,5,75.0,72.0,89.0,59.0,63.0,CM
E. Cavani,Uruguay,89,89,60000000.0,4,76.0,87.0,72.0,52.0,83.0,ST
J. Kimmich,Germany,89,90,108000000.0,4,70.0,73.0,87.0,83.0,79.0,"CDM, RB"
Casemiro,Brazil,89,89,90500000.0,3,65.0,73.0,76.0,86.0,90.0,CDM
H. Son,Korea Republic,89,89,110000000.0,3,88.0,88.0,82.0,43.0,70.0,"LM, CF, LW"
M. Özil,Germany,89,90,68500000.0,4,72.0,74.0,87.0,24.0,58.0,"CAM, LW"
R. Sterling,England,89,91,82500000.0,3,93.0,82.0,79.0,45.0,66.0,"LW, RW"
K. Koulibaly,Senegal,89,91,67500000.0,3,71.0,28.0,54.0,89.0,87.0,CB
A. Sánchez,Chile,89,89,67500000.0,4,86.0,84.0,80.0,40.0,78.0,"LW, ST, LM, RM"
Thiago Silva,Brazil,89,89,39500000.0,4,74.0,57.0,73.0,90.0,79.0,CB
Isco,Spain,89,92,83000000.0,3,72.0,80.0,85.0,61.0,62.0,"CAM, CM, LW"
Sergio Busquets,Spain,89,89,51500000.0,4,51.0,62.0,80.0,85.0,80.0,"CDM, CM"
R. Lukaku,Belgium,88,88,93500000.0,4,84.0,87.0,74.0,39.0,83.0,ST
L. Insigne,Italy,88,88,62000000.0,3,90.0,77.0,84.0,36.0,50.0,"LW, ST"
Bernardo Silva,Portugal,88,88,97500000.0,2,74.0,78.0,84.0,66.0,68.0,"CAM, CM"
C. Eriksen,Denmark,88,89,69500000.0,3,74.0,83.0,90.0,53.0,64.0,"CAM, RM, CM"
Bruno Fernandes,Portugal,88,89,107500000.0,3,75.0,86.0,89.0,69.0,77.0,CAM
Rúben Dias,Portugal,88,91,111500000.0,3,65.0,38.0,66.0,88.0,89.0,CB
Thiago,Spain,88,90,70500000.0,3,72.0,75.0,85.0,62.0,63.0,"CM, CAM, CDM"
P. Pogba,France,88,91,73000000.0,4,75.0,81.0,86.0,66.0,85.0,"CM, CAM"
Marquinhos,Brazil,88,90,92000000.0,3,79.0,56.0,75.0,89.0,80.0,CB
João Cancelo,Portugal,88,88,82500000.0,3,85.0,73.0,85.0,81.0,73.0,"LB, RB"
Piqué,Spain,88,88,38000000.0,4,58.0,61.0,72.0,88.0,81.0,CB
Pepe,Portugal,88,88,23500000.0,4,71.0,51.0,57.0,87.0,81.0,CB
P. Aubameyang,Gabon,88,88,57000000.0,3,93.0,86.0,75.0,38.0,69.0,"ST, LM"
M. Reus,Germany,88,88,58000000.0,4,85.0,87.0,84.0,45.0,66.0,"CAM, LM, ST"
P. Lahm,Germany,88,88,29500000.0,4,67.0,56.0,82.0,86.0,64.0,"RB, CDM, CM"
L. Goretzka,Germany,88,89,107000000.0,4,80.0,82.0,82.0,81.0,86.0,"CM, CDM"
L. Bonucci,Italy,88,88,44000000.0,3,68.0,54.0,70.0,87.0,81.0,CB
J. Rodríguez,Colombia,88,89,69500000.0,4,70.0,86.0,88.0,50.0,67.0,"CAM, CM, RM"
Coutinho,Brazil,88,89,69500000.0,3,81.0,82.0,86.0,52.0,65.0,"LW, RW, CM"
Marcelo,Brazil,88,88,43000000.0,4,82.0,72.0,83.0,80.0,82.0,LB
B. Schweinsteiger,Germany,88,88,39000000.0,4,61.0,81.0,85.0,78.0,80.0,"CM, CDM"
F. Ribéry,France,88,88,33000000.0,4,89.0,78.0,85.0,29.0,62.0,LM
Roberto Firmino,Brazil,88,88,63000000.0,3,77.0,83.0,81.0,61.0,78.0,"CF, ST, CAM"
R. van Persie,Netherlands,88,88,40500000.0,5,74.0,89.0,81.0,33.0,68.0,ST
Falcao,Colombia,88,88,46500000.0,4,77.0,86.0,64.0,40.0,73.0,ST
M. Verratti,Italy,87,87,77500000.0,3,60.0,61.0,87.0,79.0,66.0,"CM, CAM"
F. de Jong,Netherlands,87,92,116500000.0,3,82.0,69.0,86.0,77.0,78.0,CM
Rodri,Spain,87,89,88500000.0,3,58.0,72.0,78.0,83.0,84.0,CDM
Fernandinho,Brazil,87,87,20500000.0,3,67.0,74.0,78.0,84.0,80.0,CDM
I. Rakitić,Croatia,87,87,46500000.0,4,64.0,82.0,86.0,75.0,72.0,"CM, CDM"
J. Vertonghen,Belgium,87,87,34000000.0,3,63.0,63.0,74.0,87.0,79.0,CB
M. Icardi,Argentina,87,89,62500000.0,3,78.0,85.0,61.0,36.0,71.0,ST
S. Umtiti,France,87,92,57000000.0,3,72.0,64.0,71.0,88.0,82.0,CB
D. Alaba,Austria,87,90,48000000.0,4,86.0,73.0,81.0,83.0,73.0,"LB, CB, CM"
T. Alexander-Arnold,England,87,90,102500000.0,3,79.0,69.0,89.0,80.0,72.0,RB
A. Robertson,Scotland,87,88,83500000.0,3,84.0,61.0,81.0,82.0,76.0,LB
J. Sancho,England,87,91,116500000.0,3,81.0,76.0,82.0,36.0,65.0,"RM, CF, LM"
A. Vidal,Chile,87,87,41500000.0,4,75.0,81.0,80.0,84.0,85.0,"CM, CDM"
Á. Di María,Argentina,87,87,45000000.0,4,87.0,79.0,84.0,47.0,70.0,"RW, CM, CAM"
T. Müller,Germany,87,88,52500000.0,4,78.0,83.0,77.0,46.0,71.0,"CF, RW, CAM, ST"
D. Mertens,Belgium,87,87,40000000.0,3,88.0,83.0,80.0,35.0,53.0,"CF, ST"
M. Hamšík,Slovakia,87,87,46500000.0,3,68.0,80.0,84.0,72.0,69.0,CM
Jordi Alba,Spain,87,87,38000000.0,3,93.0,69.0,79.0,79.0,72.0,LB
C. Immobile,Italy,87,87,52000000.0,3,82.0,87.0,63.0,39.0,76.0,ST
